| Kỹ thuật               | Ưu điểm                                                            | Hạn chế                                                       | Khi nào nên dùng                                            | Tình huống ví dụ                                                                            |
|------------------------|--------------------------------------------------------------------|---------------------------------------------------------------|-------------------------------------------------------------|---------------------------------------------------------------------------------------------|
| Phỏng vấn              | - Thu thập thông tin sâu, cụ thể                                   | - Tốn thời gian và nhân lực                                   | - Khi cần hiểu sâu quy trình nghiệp vụ hoặc nhu cầu chi tiết| Phỏng vấn thủ thư để hiểu quy trình mượn và trả sách trong hệ thống thư viện                |
|                        | - Có thể hỏi thêm khi cần làm rõ                                   | - Dễ bị ảnh hưởng bởi cảm xúc hoặc chủ quan của người được hỏi| - Khi số lượng người liên quan không quá nhiều              |                                                                                             |
|                        | - Xây dựng quan hệ tốt với người dùng.                             |                                                               |                                                             |                                                                                             |
|----------------------- |--------------------------------------------------------------------|---------------------------------------------------------------|-------------------------------------------------------------|---------------------------------------------------------------------------------------------|                                                                                                                                                                                                                                                                                                                                              
| Bảng câu hỏi           | - Nhanh, dễ thu thập dữ liệu từ nhiều người                        | - Câu trả lời có thể hời hợt, thiếu chi tiết                  | - Khi đối tượng người dùng đông, phân tán rộng              | Gửi khảo sát đến hàng trăm sinh viên để thu thập ý kiến về giao diện hệ thống học trực tuyến|  
|                        | - Dễ thống kê và so sánh                                           | - Không giải thích được các ý mơ hồ                           | - Khi chỉ cần dữ liệu tổng quan                             |                                                                                             |
|------------------------|-------------------------------------- -----------------------------|---------------------------------------------------------------|-------------------------------------------------------------|---------------------------------------------------------------------------------------------|                                                                                                                                                                                                                                                                                                                                              
| Quan sát               | - Hiểu rõ cách người dùng thật sự làm việc, không chỉ lời kể       | - Tốn thời gian, khó thực hiện trong môi trường phức tạp      | - Khi cần hiểu quy trình thao tác thực tế tại hiện trường   | Quan sát nhân viên bán hàng sử dụng phần mềm POS để ghi nhận thao tác thực tế               |
|                        | - Phát hiện vấn đề thực tế mà người dùng không nói ra              | - Có thể gây ảnh hưởng đến hành vi người được quan sát        | - Khi người dùng không thể mô tả chính xác công việc của họ |                                                                                             |
|------------------------|--------------------------------------------------------------------|---------------------------------------------------------------|-------------------------------------------------------------|---------------------------------------------------------------------------------------------|                                                                                                                                                                                                                                                                                                                                              
| Phân tích tài liệu     | - Có thể hiểu quy trình hiện tại nhanh qua văn bản, biểu mẫu sẵn có| - Tài liệu có thể lỗi thời hoặc thiếu chính xác               | - Khi tổ chức đã có quy trình hoặc tài liệu nghiệp vụ sẵn   | Phân tích quy định và biểu mẫu điểm danh hiện tại trước khi thiết kế hệ thống điểm danh QR  |
|                        | - Hữu ích để kiểm chứng yêu cầu                                    | - Không phản ánh cách làm việc thực tế                        | - Khi muốn làm cơ sở ban đầu trước khi phỏng vấn            |                                                                                             |
                                                                                                                                                                                                                                                                                                                                                                           
