| Stakeholder           | Vai trò                                                        | Mối quan tâm                                         | Mức độ ưu tiên|
|-----------------------|----------------------------------------------------------------|------------------------------------------------------|---------------|
| Khách hàng            | Người dùng cuối sử dụng ứng dụng để đặt giao hàng, theo dõi đơn| - Giao hàng nhanh, chính xác, an toàn                | Critical      | 
|                       |                                                                | - Ứng dụng dễ dùng, hỗ trợ tra cứu và thanh toán     |               |
|                       |                                                                | - Có thể theo dõi vị trí đơn hàng theo thời gian thực|               |
|-----------------------|----------------------------------------------------------------|------------------------------------------------------|---------------|                                                                                                                                                                                                                                                                                                                                           
| Tài xế giao hàng      | Nhận đơn, giao hàng và cập nhật trạng thái giao                | - Nhận thông báo đơn hàng nhanh chóng                | Critical      |
|                       |                                                                | - Ứng dụng ổn định, không lỗi GPS                    |               |
|                       |                                                                | - Tính tiền công minh bạch, dễ rút tiền              |               |
|-----------------------|-------------------------------------- -------------------------|------------------------------------------------------|---------------|                                                                                                                                                                                                                                                                                                                                             
| Quản trị viên hệ thống| Quản lý toàn bộ hoạt động, người dùng, đơn hàng, tài xế        | - Quản lý người dùng và dữ liệu hiệu quả             | Major         | 
|                       |                                                                | - Báo cáo thống kê theo ngày, khu vực                |               |
|                       |                                                                | - Có quyền kiểm soát và xử lý khiếu nại              |               |
|-----------------------|----------------------------------------------------------------|------------------------------------------------------|---------------|                                                                                                                                                                                                                                                                                                                                             
| Doanh nghiệp đối tác  | Gửi hàng/đồ ăn qua hệ thống FastDelivery                       | - Tích hợp API để tự động gửi đơn                    | Major         | 
|                       |                                                                | - Theo dõi đơn và đánh giá tài xế                    |               |
|                       |                                                                | - Thanh toán và hóa đơn rõ ràng                      |               |
|-----------------------|----------------------------------------------------------------|------------------------------------------------------|---------------|
| Bộ phận kỹ thuật      | Xây dựng, bảo trì, đảm bảo vận hành hệ thống                   | - Hệ thống hoạt động ổn định 24/7                    | Critical      | 
|                       |                                                                | - Bảo mật thông tin người dùng và thanh toán         |               |
|                       |                                                                | - Dễ mở rộng, có khả năng xử lý lượng truy cập lớn   |               |     
