| Mục                                                                     | Vai trò                                                                                                                                                                                   |
|------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Giới thiệu                                                              | Trình bày tổng quan về hệ thống học trực tuyến, mục tiêu phát triển, phạm vi sử dụng và đối tượng người dùng chính (giảng viên, sinh viên, quản trị viên)                                 |
| Mô tả tổng quát                                                         | Giới thiệu bối cảnh hệ thống, chức năng tổng thể, các ràng buộc kỹ thuật, và cách hệ thống tương tác với các hệ thống khác (như cổng thông tin trường, hệ thống email, thanh toán học phí)|
| Yêu cầu chức năng                                                       | Liệt kê chi tiết các chức năng mà hệ thống phải cung cấp, ví dụ: đăng nhập, quản lý khóa học, tham gia lớp học online, nộp bài, chấm điểm, trao đổi qua diễn đàn                          |
| Yêu cầu phi chức năng                                                   | Xác định các yêu cầu về hiệu năng, bảo mật, tính sẵn sàng, giao diện, khả năng mở rộng, và độ tin cậy của hệ thống                                                                        |
| Giao diện người dùng                                                    | Mô tả cách bố trí và hành vi của giao diện (UI), bao gồm trang đăng nhập, dashboard, trang khóa học, diễn đàn, và các biểu mẫu                                                            |
| Ràng buộc hệ thống                                                      | Nêu rõ giới hạn hoặc yêu cầu kỹ thuật bắt buộc như: ngôn ngữ lập trình, nền tảng triển khai (web/mobile), cơ sở dữ liệu, API tích hợp                                                     |
| Mô hình dữ liệu và thiết kế logic                                       | Trình bày các sơ đồ dữ liệu, mô tả các bảng và mối quan hệ giữa chúng trong hệ thống học trực tuyến                                                                                       |
| Giao tiếp bên ngoài                                                     | Mô tả cách hệ thống trao đổi dữ liệu với các hệ thống khác, ví dụ: API xác thực sinh viên, hệ thống thanh toán học phí, email thông báo                                                   |
| Các trường hợp sử dụng                                                  | Minh họa các tình huống sử dụng thực tế (sinh viên đăng ký khóa học, giảng viên tạo bài tập, quản trị viên khóa tài khoản)                                                                |
| Phụ lục                                                                 | Chứa các tài liệu tham khảo, định nghĩa thuật ngữ, danh sách biểu đồ UML hoặc mockup giao diện                                                                                            |
